127.0.0.1 - - [07/Jan/2022:09:28:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:28:15 +0900] "GET /jsp/ex06_response_one.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:28:15 +0900] "GET /jsp/ex06_response_two.jsp HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:28:15 +0900] "GET /jsp/asset/css/bootstrap.css HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:28:15 +0900] "GET /jsp/asset/js/jquery-1.12.4.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:28:15 +0900] "GET /jsp/asset/js/bootstrap.js HTTP/1.1" 200 66732
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:28:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:28:26 +0900] "GET /jsp/ex06_response_one.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:28:26 +0900] "GET /jsp/ex06_response_two.jsp HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:29:10 +0900] "GET /jsp/ex06_response_one.jsp HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:29:10 +0900] "GET /jsp/ex06_response_two.jsp HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:40:15 +0900] "GET /jsp/ex07_pagecontext_one.jsp HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:40:17 +0900] "GET /jsp/ex07_pagecontext_two.jsp HTTP/1.1" 500 2325
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:40:27 +0900] "GET /jsp/ex07_pagecontext_two.jsp HTTP/1.1" 500 2325
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:49:18 +0900] "GET /jsp/ex07_pagecontext_one.jsp HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:49:19 +0900] "GET /jsp/ex07_pagecontext_two.jsp?a=10 HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:49:49 +0900] "GET /jsp/ex07_pagecontext_two.jsp?a=10 HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:49:52 +0900] "GET /jsp/ex07_pagecontext_two.jsp?a=10 HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:49:57 +0900] "GET /jsp/ex07_pagecontext_two.jsp?a=10 HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:05:19 +0900] "GET /jsp/ex07_pagecontext_one.jsp HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:06:06 +0900] "GET /jsp/ex07_pagecontext_one.jsp HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:06:09 +0900] "GET /jsp/ex07_pagecontext_one.jsp HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:06:18 +0900] "GET /jsp/ex07_pagecontext_one.jsp HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:06:35 +0900] "GET /jsp/ex07_pagecontext_one.jsp HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:07:59 +0900] "GET /jsp/ex07_pagecontext_one.jsp HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:09:32 +0900] "GET /jsp/ex07_pagecontext_one.jsp HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:09:33 +0900] "GET /jsp/ex07_pagecontext_two.jsp?a=10 HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:19:51 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 500 2692
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:20:11 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:26:24 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:27:16 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:27:21 +0900] "GET /jsp/asset/css/bootstrap.css.map HTTP/1.1" 200 379710
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:29:44 +0900] "GET /jsp/ex09_session.jsp HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:29:49 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:30:00 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:30:41 +0900] "GET /jsp/ex09_session.jsp HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:30:43 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:31:02 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:31:05 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:31:07 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:31:10 +0900] "GET /jsp/ex09_session.jsp HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:31:12 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:31:48 +0900] "GET /jsp/ex09_session.jsp HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:31:50 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:34:03 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:34:05 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:34:06 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:34:06 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:34:07 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:34:07 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:34:07 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:34:07 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:34:08 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:37:00 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:37:01 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:37:01 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:37:02 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:37:03 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:37:03 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:37:03 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:37:03 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:37:03 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:38:43 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:38:43 +0900] "GET /jsp/asset/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:38:43 +0900] "GET /jsp/asset/js/jquery-1.12.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:38:43 +0900] "GET /jsp/asset/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:38:45 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:38:45 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:38:45 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:38:46 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:38:46 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:38:47 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:38:48 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:40:59 +0900] "GET /jsp/ex10_session.jsp HTTP/1.1" 200 545
